PID,text,labels
test_id_8697,লিখে পোস্ট অফিসে পাঠিয়ে শঙ্কায় থাকতে চায় ।,Positive
test_id_374,তোর মতো মাগির নাটক আমি আর দেখবো না,Negative
test_id_1720,১০০ ভাগ সমর্থন করছি।,Neutral
test_id_8309,সব দুর্নীতির বিচার হউক।,Neutral
test_id_5379,রবিবার আবহাওয়া অধিদফতর সূত্রে এসব তথ্য জানা ।,Positive
test_id_5288,বাংলাদেশের প্রধানমন্ত্রী মালদ্বীপের প্রেসিডেন্ট ইব্রাহিম মোহামেদ সোলিহ ।,Positive
test_id_5233,উন্নয়নের ক্ষেত্রে সহযোগিতার বিষয়ে দুটি সমঝোতা স্মারক এবং ।,Positive
test_id_1209,বাইকের গুনাগুন নিয়ে সন্দেহ নেই কিন্তু দামের দিকটা বেশি গুরুত্ব পাবে আশা করছি।,Neutral
test_id_3854,রবি দাদু কেও এবার খেয়ে ছেড়ে দাও :-  :-,Negative
test_id_3941,ধুর তোর নাটকের বাপ দাদারে চুদি .খানকি .এই পোস্ট টাও নাটক চোদাইয়া দিছস  নিজের মান হারাবার ভয়ে .,Negative
test_id_2328,জলতরঙ্গের মতো মিষ্টি রিনরিন শব্দে হাসছে সে আর ।,Positive
test_id_7385,গুড জব প্রথম আলো। বর্তমানে দেশের ফুটবল নিয়ে আপনাদের এই কাজগুলো খুব ভালো লাগছে।,Neutral
test_id_4105,বাংলাদেশের স্বাধীনতায় জাতীয় চার নেতার অবদান সর্বাধিক।,Neutral
test_id_7453,নেইমার ব্যালন ডিওর না জিততে চাইলে বার্সা ছেড়ে দিল কেন?,Neutral
test_id_11094,নিজের কাজে সময় না দিয়ে অন্য বিষয় নিয়ে ।,Positive
test_id_2066,থেকে তেঁতুলিয়া পাড়ি দেবেন বলে বের হন ।,Positive
test_id_7658,হায়রে ভাইরা দুঃখ হচ্ছে বুঝি।হাহাহাহাহা,Neutral
test_id_9648,আম–ছালা পরিশেষে বিএনপিই হারাবে।,Neutral
test_id_2307,শমীর দিকে মুখ ঘুরিয়ে আগের মতোই নিঃশব্দে হাসল ।,Positive
test_id_11090,সমাজের অধিকাংশ মানুষ কেন নিজের কাজে সময় না ।,Positive
test_id_7416,পাকিস্তানতো দুই ফরম্যাট মিলিয়েও তিনটি বিশ্বকাপ জয় করতে পারেনিসেখানে অস্ট্রেলিয়া হ্যাট্রিক চ্যাম্পিয়ন।,Neutral
test_id_10352,ঐ নীল আকাশে পাই যে খুঁজে ঐ ।,Positive
test_id_10244,নিজের ঘরেও অনেক মানুষ পর কখন কিসের টানে ।,Positive
test_id_4285,পুরোপুরি একমত শুধু প্রথম শব্দটা ছাড়া।,Neutral
test_id_688,নাম ফাটে জার গোয়া ফাটে তার।,Negative
test_id_946,এই কুত্তার বাচ্চা জারজ সন্তান কে পাইলে আমি কি যে করতাম। জারজ সন্তান,Negative
test_id_6579,তোমার জানালা তো সবসময় খোলা ছিল - যে কেউ প্রবেশ করিয়ে দিতো তোমার জানলা দিয়ে,Negative
test_id_3143,"তাহারা অর্ধনগ্ন ফটোশুট, অশালীন অভিনয়ে যুক্ত।এমন মানুষ পরকালে বিশ্বাস রাখলেও বাঙালির কি লাভ হতো।",Negative
test_id_2424,কেন আসতেন সেই রহস্য জানি শুধু আমি ।,Positive
test_id_4373,ধনৎবাদ মিরজা ফখরুল ইসলাম সাহেব,Neutral
test_id_2984,আর ভাবছি অপ্রয়োজনের সময় কেন যে মানুষ এত ।,Positive
test_id_462,আনোয়ার হোসাইন সম্পদ গোয়া মারবে কে?,Negative
test_id_258,খানকি মাগী তোর মুখে আল্লাহর নাম মানায়না।,Negative
test_id_7427,নাম প্রকাশ করতেই ভয় পানমন্তব্য করেন কেন?,Neutral
test_id_9335,যেদিন বিজয়ের মিছিল ছুটবে ধেয়ে বেগে থাকবো ।,Positive
test_id_5408,ডিসেম্বর রাজশাহী এবং রংপুর বিভাগে গুঁড়ি গুঁড়ি ।,Positive
test_id_487,এবার না হয় দরজাটাও খুলে দেন যত্তসব,Negative
test_id_225,"হায়রে দুধ,তোর এই অবস্থা কেন?",Negative
test_id_7777,অবশ্যই ক্রিস্টিয়ানো রোনাল্ডো ব্রাজিলের রোনালদোর চেয়ে এগিয়ে। আমি ব্রাজিলের কট্ট্রর সমর্থক হয়েই এটা বলছি।,Neutral
test_id_5703,এমভি অভিযান-১০ নামের লঞ্চে আগুন লাগার ঘটনায় ।,Positive
test_id_6763,মাগি! ঘোড়া দিয়ে চোদানো দরকার তোরে।,Negative
test_id_9466,আচ্ছা ঠিক আছে।সময় আসুক- তারপর আন্দোলন করেন।,Neutral
test_id_3937,কেন ভাই ছাগুদের পাছায় আগুন দিচ্ছেন?,Negative
test_id_8278,"এইটা বাকশাল নয়, একটু পড়াশুনা করেন। এখন হচেছ আমেরিকান গনতনত্র - একটি পক্ষ, অন্যটি বিপক্ষ।",Neutral
test_id_5554,প্রচণ্ড ভয়ে চিৎকার করে হনুমান চালিসা আওড়াতে শুরু ।,Positive
test_id_2717,ওদের দলের ডজন খানেক সমর্থক হকিস্টিক নিয়ে ।,Positive
test_id_8703,কেউই লাইনের পর লাইন চিঠি লিখে পোস্ট অফিসে ।,Positive
test_id_680,দূরে থেকে ভিডিও কলে লিংক বের করা যায় এটা এতোদিন তোর মাথায় আসেনি? বারোবাতারি,Negative
test_id_2251,অবাক হয়ে দেখল অদ্ভুত সেই গাছের পাতাগুলো একেবারেই ।,Positive
test_id_5851,লীগের সাধারণ সম্পাদক এবং সড়ক পরিবহন ও ।,Positive
test_id_9861,স্বপ্নগুলো হারিয়ে ফেলে চেয়েছি ফিরে আমার আলো ।,Positive
test_id_8086,এত বড় জঘন্য একটা কাজ। তার সঠিক সাজা হতো মৃত্যুদন্ড,Neutral
test_id_6127,"তুই আন্তর্জাতিক খানকি,তাছলিমা নাসরিনের সহযোগী তুই",Negative
test_id_9316,স্বর্গবাস আর বদ্বীপের উপবাস লজ্জায় আমি রবো অন্তপুরে ।,Positive
test_id_5524,যে ‘বাঘ’ তাড়াতে কেউ বাড়ির ভিতরেই তারস্বরে গান ।,Positive
test_id_7414,"সেমিফাইনাল খেলবে জিম্বাবুয়ে, বাংলাদেশ, পাকিস্তান এবং ওয়েস্ট ইন্ডিজ",Neutral
test_id_3967,ফাটিয়ে দিয়েছো চুত্ম্রানি,Negative
test_id_7805,অস্ট্রেলা সফরে কোন সিরিজই হারেনি ভারত আর অস্ট্রেলাও কোন সিরিজ জেতেনি,Neutral
test_id_3899,"অর্ধ ওলংগ ছবি দেখে বলছেন কিউট ,হায়রে মেয়ে মানুষ,",Negative
test_id_9463,দায়িত্বে অবহেলার জন্য হাসপাতাল কর্তৃপক্ষের বিরুদ্ধে মামলা করা উচিৎ।,Neutral
test_id_2132,সুপারভাইজর বা শিক্ষক বা আপনার কর্মক্ষেত্রের বস ।,Positive
test_id_1285,সাধু সাবধান! শ্রমিক ন্যায্য মজুরী পাক আমরা সবাই চাই। কিন্তু এই সব,Neutral
test_id_10731,পড়ে অনেক ক্ষণ সেই বৃষ্টি ভেজা মনে ।,Positive
test_id_6425,নট ফাকঁ গার্ল তুমি,Negative
test_id_8387,সবাইকে রাজনীতি সচেতন হওয়ার আহ্বান জানিয়ে শিক্ষামন্ত্রী ।,Positive
test_id_4601,ভাল জনগনের সম্পদের উত্তম ব্যবহার। ধন্যবাদ মহান এই সরকারকে তাদের এই মহান উদ্যোগ এর জন্য।,Neutral
test_id_3688,চুদার অভাব তোরে,Negative
test_id_7731,বিপিএল সেঞ্চুরি ম্যান আবারও বিপিএল এর মান,Neutral
test_id_10843,আধো আলো বিশ্বাসে বুকের গভীরে কার যেন ।,Positive
test_id_148,মাগি মর তাহলে বুজবি,Negative
test_id_942,আপু আপনার শুনলাম লিং ভার হইছে।,Negative
test_id_7549,ইংল্যান্ডের পারফরমেন্স বিশ্বকাপ জয়ের ক্ষেত্রে তাদের ১ নম্বর দাবিদার করেছে।,Neutral
test_id_2062,ফেব্রুয়ারিতে তিনি দৌড়ে টেকনাফ থেকে তেঁতুলিয়া পাড়ি ।,Positive
test_id_1036,২০১৩ সালের সেরা কাপল,Neutral
test_id_1656,মানুষকে চিনতে হলে তার বর্তমান নয় তার ব্যাকগ্রাউনড ইতিহাস জানতে হয় !,Neutral
test_id_4861,রুপম এখন অর্থনিতিবিদ,Neutral
test_id_10251,টানে মানুষ পায় যে খুঁজে বাঁচার মানে ঝাপসা ।,Positive
test_id_1419,এখন সরকার চাইলেই হয়,Neutral
test_id_5695,ক্ষতিপূরণ চেয়ে করা রিটের শুনানি মঙ্গলবার সুগন্ধা ।,Positive
test_id_6811,তোর বোদায় গরম রড ডুকামু খানকি মাগী,Negative
test_id_7224,"কারন ওর বুকে এখনো যথেষ্ঠ জোর আছে, চাপ খাওয়ার মত অনেক শক্তি আছে এজন্য পরকালকে বিশ্বাস করেনা।",Negative
test_id_4651,তোরা জাতে হল ঋষিতোরা বোনাস পাবি কিসিআমার সোনার বাংলাআমি তোমায় ভালবাসি।,Neutral
test_id_1375,ইংরেজরা মসলিনের নকল তৈরি করেছিল যা প্রকৃত মসলিনের চেয়ে অনেক সস্তা ছিল। এটা একটা কারন।,Neutral
test_id_229,তোরে খুব ভালো লাগতো রে খাংকি মাগি,Negative
test_id_8807,ভবিষ্যতের কোনো কাজ যদি আজকে শুরু না ।,Positive
test_id_3996,পতিতালয়ে জন্ম নেওয়া সন্তান দের চিন্তা তো এমন ই হবে! জাত বেশ্যা,Negative
test_id_9072,বিরুদ্ধে গিয়ে কাজ করছে তাতে জোর সম্ভাবনা ।,Positive
test_id_8590,বর্তমানে যে সভ্যতায় বসবাস করছি শত বছর ।,Positive
test_id_4920,উৎপাদনের নিয়ম সব জেলায় ছড়িয়ে দিতে হবে।,Neutral
test_id_2408,ঘুমের চাপে শরীর জমে বরফ হয়ে যাচ্ছে ।,Positive
test_id_3090,"পাছা কবির আল্লাহ তোমাকে মাপ করবেন অবশ্যই, ফেসবুক থেকে মাপ পাবা না তুমি",Negative
test_id_10957,সলিউশন পড়ার নিয়ম জানেন না বলেই এই নিয়ে ।,Positive
test_id_7946,সবই নান্নুর দয়া আর গতিদানবের মায়া।,Neutral
test_id_2365,সাঁইত্রিশ বছর আগে বাগানের এদিকটায় সাপে কেটেছিল আমাকে ।,Positive
test_id_9352,কি আশা নিয়ে জেগেছি সকালে আঁকলাম সূর্য তোমার ।,Positive
test_id_8739,প্রযুক্তিতে আগ্রহী তার সবগুলোর পেছনেই দরকার শক্তি ।,Positive
test_id_3555,মাল খানেরে চোখ বাইন্ধা ঠেইলা দিলে কি বিশ্বাস করবে?,Negative
test_id_8331,ভিসা দেবে ?,Neutral
test_id_6981,জন্মগত সমস্যা আছে মাগী,Negative
test_id_6954,এমন সুন্নতি দাড়ি রাইখ্যা লুইচ্চামি গান করা ঠিক ভাউ????,Negative
test_id_7594,রেকর্ডটা কিন্তু খুব খারাপ না।,Neutral
test_id_4209,নদীর ভাঙ্গন বিরাট সমস্যা। নদীর কাছে স্থায়ী দালান না করাই উচিত।,Neutral
test_id_2227,খানেকের মধ্যে এই বাড়ি পুরোনো আদলেই নতুন রূপ ।,Positive
test_id_7504,"অপেক্ষা করুন, এই ভাগ্য আপনার আসব।",Neutral
test_id_8415,দুপুরে বিজয়ের সুবর্ণজয়ন্তী ও মুজিব শতবর্ষ উপলক্ষে ।,Positive
test_id_10372,শুরু থেকে শেষে যাবো তোমায় ভালোবেসে বুকে ।,Positive
test_id_8413,জায়গা যেখানে জীবনের প্রায় সব সিদ্ধান্ত গৃহীত হয় ।,Positive
test_id_2092,নিঃসন্দেহে তারা অনেক জ্ঞানী কিন্তু ঘাটতি ছিল উপস্থাপনের ।,Positive
test_id_5576,গ্রহ কেতু ও দেবগুরু বৃহস্পতির প্রভাব বিদ্যমান ।,Positive
