PID,text,labels
test_id_1,এককথায় যাকে বলে বাংলাদেশের মাগি এবং পতিতা ব্যবসা!,Negative
test_id_2,আহহা ফেসবুক হ্যাকের জন্য,Negative
test_id_3,ও আচ্ছা ফেসবুক হ্যাক করা দুশ্চিন্তা নিয়ে এই পোস্ট টা করছেন,Negative
test_id_4,লিংক পাইলে দিয়েন কেউ,Negative
test_id_5,মানি মানি মানি  নরম জিনিষের ছোয়ায় যখন গরম আসেনিজ হাত আর আর নুনু দেয় থাকে ভালবেসে,Negative
test_id_6,এই জারজের জন্মের ঠিক নাই ও হচ্ছে মিচ্র বিজের পয়দা সেকারনে এই সব কথা বলে,Negative
test_id_7,এটাই বাঙালি। দোশ করবে আল্লাহর কাছে৷ ক্ষমা চাইবে ফেসবুকে,Negative
test_id_8,মাল কম খাওয়া হয়েছে,Negative
test_id_9,মেলায় হারিয়ে যাওয়া সানি লিওনের জমজ বোন কে খুঁজে পাওয়া গেল,Negative
test_id_10,তরে পাইলে। কুত্তা দিয়া চুদাইতাম,Negative
test_id_11,এদেরকে গালি দিয়ে মুখ খারাপ করে লাভ নাই কারণ এদের জন্মই হচ্ছে বেশ্যার ঘরে,Negative
test_id_12,বুজলাম এখন পর্ন ফিস বালডায় কেন ভাগছে !,Negative
test_id_13,দুধ ২টা কেন দেখান ওটা ডেকে রাখতে এতো সমস্যা কেন,Negative
test_id_14,"বোকাচোদা তুমি আবার সাহসী মারাইছো,এই হালায় সংস্কৃতির ১২ টা বাজাইছে।",Negative
test_id_15,মালয়েশিয়া থেকে শুনছি,Negative
test_id_16,ফেসবুক হ্যাকড্ তাই আল্লাহর কাছে বিচার দিলেনআপনি এত কিউট ক্যান??,Negative
test_id_17,সাফার পাছা এখন লাল হয়ে গেছে,Negative
test_id_18,হেদায়েতের মালিক একমাত্র আল্লাহ। আল্লাহ আপনাকে হেদায়েত দান করুক।(আমিন)আর বেশি কিছু বলার নেই।,Negative
test_id_19,প্রিয়া সাহার বক্তব্য:মাননীয় প্রধানমন্ত্রীর দ্বারা অনুপ্রাণিত হয়েই আমি এসব কথা বলেছি .,Negative
test_id_20,হুম পুটকি মারতে আইসি,Negative
test_id_21,গরীবের সানি আপা,Negative
test_id_22,"সাফা কবির - পাছা কবিরসবাই একটা করে নতুন নাম দিয়া যান,,,",Negative
test_id_23,বেশ্যারা পরকালে বিশ্বাস না করাটা অবাক হওয়ার কিছু নয়।,Negative
test_id_24,পাছার মাঝে কয়টা মারা দরকার,Negative
test_id_25,কন্ডমগুলো মনে হয় ফুঁটো ছিলো তাই আজ তুমার এই অবুস্থা,Negative
test_id_26,সে দেশে আসার পর তাকে চাটাম ঘর এ নিয়ে চাটাম মারা হোক,Negative
test_id_27,অতঃপর পাবলিকের অপমান সইতে না পেরে না ফেরার দেশে চলে গেলেন আমাদের বোন পাছা কবির,Negative
test_id_28,ওস্তাদমাগি সুদি না আমগো নুনুর দাম আছে,Negative
test_id_29,"তুইতো একটা মাগি, মাগিরা এসব বলতে পারে।",Negative
test_id_30,মিথিলার জানালা খুলা,Negative
test_id_31,মাগি কই কি,Negative
test_id_32,"সামনে কি জনি সিন্স নাকি,",Negative
test_id_33,মাদারচোদেরেএতদিন পরে মিথ্যা কল রেকর্ড পাঠাইছো খানকির পোলা ব***** মাগির পোলা,Negative
test_id_34,ফেসবুক হ্যাক তাতেই মাফ চাওয়া চাইয়ি শুরু,Negative
test_id_35,চুলের ফাক দিয়া আমি যে নদি টা দেখতাছি তাহা কি তোমরা কে দেখতাছো ব্রা,Negative
test_id_36,পরি মনি দিনে দিনে অশ্লিল হয়ে যাচ্ছে! সানি লিওন হতে চাচ্ছে,Negative
test_id_37,রায়হান শেখ কোন পতিলয়ে কন্ডম দূর্ঘটনায় এটার জন্ম হইচে।।।,Negative
test_id_38,সৃজিত আঙ্কেল মনেহয় আপনে এখন ফেইল,Negative
test_id_39,তুমি টমেটো সসবাকিরা চিকেনফ্রাইসাইডে চলো তোমার একটা দুধু খাই,Negative
test_id_40,ফেসবুকে পোস্ট দিয়ে লাভ নেয় আল্লাহর কাছে ক্ষমা চেয়ে নেও,Negative
test_id_41,বোকাচোদা বাঙালি হুজুগে চল্লিশ হাজার ফলোয়ার বাড়িয়ে দিয়েছে এই মেয়ের!!!!,Negative
test_id_42,আসলেই একটা মাগী,Negative
test_id_43,"তিনটা ছাগল একটা ছাগী তুই একটা মা,,,,,,,",Negative
test_id_44,চুদিরভাই বাঁশ চেনো বাঁশ দেবো,Negative
test_id_45,এই মাগী তোকে কে জন্ম দিয়েছে তোর মা ভাল জানে,Negative
test_id_46,"মানুষের পাছায় বাঁস দেয়, কিন্তু মাগি বাঁস পাছায় দিছে  ",Negative
test_id_47,আল্লাহর আদেশ কয় টা পালন করছ।মাগি,Negative
test_id_48,তোরে কুত্তা দিয়া চুদাইতে হইবো,Negative
test_id_49,"চো,,,,, মুড়ি কিনে খা বেশ্যা",Negative
test_id_50,কবে মুক্তি পাচ্ছে তোমাদের টা?,Negative
test_id_51,কাকু তুই সালা একটা গরু চুদা,Negative
test_id_52,"তুমার জন্ম কে দিয়েছে, তাকে তুমি দেখনি তার মানি তুমি জারজ,",Negative
test_id_53,"বারে বাহ,,,, তোমার মাঝে আমি আমার বউটারে খুউজা পাই,,, সানি বউ টা সেম বুবস",Negative
test_id_54,তোরে জনি সিন্স রে দিয়া চুদাইতে হয়ব,Negative
test_id_55,"এখন আবার এনারে ধরছো,, ও মাই গড",Negative
test_id_56,ইচ্ছা করতাছে পদ্মা সেতুর দশটা পিলার তর পুটকি দিয়াঢুকাই দেই  .,Negative
test_id_57,সবাই আছেন তাকে গালাগালি করার চিন্তায় আর আমি আছি কবে তার লিংক পাবো সেই চিন্তায়,Negative
test_id_58,বলদ চোদা হালারা নায়িকা টা কোন গাধা শুটিল না কইরা গাস কাট,Negative
test_id_59,জুম করে দুধের মধ্যভাজ আর পাছার একাংশ দেখে নিলাম,Negative
test_id_60,অাহানুনুর অাগায় পানি চলে অাসলো তোমাকে দেখে,Negative
test_id_61,এতে বোঝা গেলে তুমি সব গুলেকে চাও,Negative
test_id_62,বালিস দিয়ে নুনু ঢাকা হচ্ছে য়্যা?,Negative
test_id_63,ওর ভোদায় গরম রড দেওয়া উচিত বেশ্যা মাগী,Negative
test_id_64,সোনার ছবি বালছাল করে হালার পরিচাকরে পাইলে জোতা দিয়া দিতাম,Negative
test_id_65,সোনা কাটা পরী,Negative
test_id_66,"সারা বছর নোংরামি,রমজান মাসে ভন্ডামি।",Negative
test_id_67,মুখে ধোন ঢুকাইয়া দুধডি টিপতে হইবো,Negative
test_id_68,"রাগ কমবে কেমনে লিখে পোষ্ট দিলে আমরা বিশ্বাস করব না, ভিডিও করে লিখতে হবে।মূর্খ চোদা",Negative
test_id_69,কামলাচুদানি বি লাইক!লেভেল প্র,Negative
test_id_70,এখন ও ভুল বুজতে রাজি না খানকি মাগি,Negative
test_id_71,কুকুর কে দুধ দিয়ে গোচল দিলেও পায়খানায় মুখ দিবে।,Negative
test_id_72,বোকাচুদা হিরো আলোম মুভি মারাছে,Negative
test_id_73,বেশ্যাই তোকে দেখতে তসলিমা নাসরিনের ডিমের ফোঁটা বাচ্চার মত লাগছে,Negative
test_id_74,কুত্তা মাগি। ।।,Negative
test_id_75,তদের মত বেসসাদের এই দেশে থাকার জায়গা নাই,Negative
test_id_76,এর একাধিক যৌন সংগি আছে এ শয়তান মেয়ে তার বাবার সাথেও অপকর্ম করতে পারে,Negative
test_id_77,পাছায় রট দিতে হবে,Negative
test_id_78,মাগি কথা বলার সময় হুস থাকে না??????,Negative
test_id_79,এই মাগি তো আল্লাহ বিশ্বাস করেনা আবার এই মাগি কোরনা ডায়লগ দেয়,Negative
test_id_80,জাহিদ খান মাগির দালাল তাই কেও তারে চিন্তে পারি নাই,Negative
test_id_81,নিজের পুষিতে আঙুল বুলিয়ে মজা নিচ্ছে পাছা কবির,Negative
test_id_82,এত বড় কেন,Negative
test_id_83,এরা কেউই আর তোমাকে তোতে না,Negative
test_id_84,"দোস তো ওর না,দোস হলো ওর মতো খানকি যে জন্ম দিয়েছে তার।",Negative
test_id_85,"দুধ তো জুইলা গেছে,, তারপরে আবার আমজনাতার লগে টক্কর,, ,",Negative
test_id_86,আচ্ছা আপনার পাছা তো দেখতে পারেন নাআপনি কি পাছায় বিশ্বাসী জানতে ইচ্ছে করে,Negative
test_id_87,শুটকি মনে করে ছিলাম কিন্তুু পাচাটা তো সেই ছিল,Negative
test_id_88,তোমার তো জুটির অভাব হয়না।,Negative
test_id_89,দাদা অরে কান হেলাল আর আসাদ পং রে দিয়ে চোদাইতে হবে,Negative
test_id_90,এই মাগির পায়ের রুম এতো লম্বা কেরে,Negative
test_id_91,সেফুদা তোরে চোদে কে? মাদারচোদ,Negative
test_id_92,খানকি মাগি তোর রেট বল।।। তোকে ভাড়া করে আমাদের এলাকার সব কুত্তা দিয়ে খেলাবো।।।,Negative
test_id_93,দিচ ইচ চুদা কবির,Negative
test_id_94,বিচার কি আল্লাহর কাছে দিয়েছেন?নাকি ফেসবুকের কাছে?,Negative
test_id_95,সাফা তুই এক টা পতিতাখানকি মাগি কুত্তার জি এসব কি বলছ তুই মাগি,Negative
test_id_96,জেসিয়া তোমার হোগা এখন কে চাঁটে বড় জানতে ইচ্ছে করে।,Negative
test_id_97,"মিথিলারে এই বেডার কাছে পাঠানো হোক,,সব জালা মিঠাই দিবো ১৬""",Negative
test_id_98,সাহসী চোদা আলম,Negative
test_id_99,এসব দেখে কেমনে মাথা ঠিক থাকবে??সালার ফটোগ্রাফারের অনেক ধৈর্য রে ভাই।।বডি স্ট্রাকচার কত হতে পারে?? ,Negative
test_id_100,তিনটি লোক যোক্তি করে এসেছে হিরো আলমকে অপমান করার জন্য।সব সালারা মাদারচুদ।,Negative
test_id_101,মিয়া খলিফা বাংলাদেশ এর,Negative
test_id_102,হ তুমার দরজা জানালা সবি খুলা অলয়েজ!!!,Negative
test_id_103,খেলে যান না,Negative
test_id_104,সাফা তোক চুদে আমরা করবো ছাফা,Negative
test_id_105,বাবা ইসলামি ফাউন্ডেশনের চেয়ারম্যান আর মেয়ে পর্ণস্টার,Negative
test_id_106,নুনু বেল তুমি পর্ণ বের করো বেশ চলবে মাইরী,Negative
test_id_107,তিনটা ছাগল মানুষ কোরবানি দেয় আর একটি ছাগলী মানুষের কাছে কোরবানি হয়,Negative
test_id_108,সবাই মিলে ওকে চোদার কাম,Negative
test_id_109,"আমারে রাইখা তুই অর লগে ঢ্লাঢলি করস, প্রস্টিতিত কোতাকাল",Negative
test_id_110,এটা কি দুধের বিজ্ঞাপন?,Negative
test_id_111,তুই তো আস্ত একটা খানকি,Negative
test_id_112,তুই নটি না আল্লাহকে বিশ্বাস করছ না তাইলে আবার বিচার দেস কেন,Negative
test_id_113,মাগী তুই এখনো তোর মায়ের ফিটার খাচ্ছে নাকি,Negative
test_id_114,সুদি তরে মাগি,Negative
test_id_115,হিরো কনডম যে সেফুদার দত্তক পুত্র আগে জানতাম না,Negative
test_id_116,এটার লিংক তো পেলাম না চুদম্রানি,Negative
test_id_117,তুই মাগি হিন্দু কোরআন শরীফ পড়ছিলি কোনদিন তুর মাটা কেমন জন্ম কেমন করে দিছে,Negative
test_id_118,"শালি পুটকি মারা খাইয়া গ্যান হারিয়ে ফেলেছে।তাই জ্বরের মুখে আবল তাবল বকতেছে,,,ঝারু মারা উচিত",Negative
test_id_119,খানকি মাগি কয় কি !,Negative
test_id_120,মাগী তুই আল্লাহকে অবিশ্বাস করছো,Negative
test_id_121,আফা আজ ব্রা পরেন নাই?ছিরা গেছে নাকি,Negative
test_id_122,"শালা পাগল মাল, বাদর",Negative
test_id_123,মাগির মাগি   .ভুদা ফাটাইলাইমু,Negative
test_id_124,মাফ করার মালিক কে আমার আল্লাহ ঠিক আছে,Negative
test_id_125,এই গোডাউনের মাল তাহলে,Negative
test_id_126,কাল ঈদ ছিলো অথচ তুমি এখনও আমার সাথে কোলাকোলি করো নাই।,Negative
test_id_127,এটুকু ঠেকে আরে কি হবে হাত সরা মাগি,Negative
test_id_128,পাছার কাপড় টা খুলে বসলে ভালো হয়,Negative
test_id_129,তুই একটা নষ্ট মাগী,Negative
test_id_130,বেশ্যা বাংলাদেশের ময়লা তুই গেট লস্ট।মুরগির বাচ্চা,Negative
test_id_131,তোমার ওই স্তনযুগল যেন ব্রা ফেটে বেরিয়ে আসতে চাইছে।,Negative
test_id_132,ওতো একটা পতিতা মানে খা:::::::কি,Negative
test_id_133,এই পোস্ট কারি তার মায়ের জারজ সন্তান,Negative
test_id_134,তোমার তো সবই খোলা! তোমার জানালাও যা দরজাও তাই!!,Negative
test_id_135,আহা বাতারি শা*রে,Negative
test_id_136,ল্যাংটা পরিবড় লোকের বেটিলো লম্বা লম্বা চুল।তোমার নিচে ভরে দেবো লাল গেঁন্দা ফুল,Negative
test_id_137,এই হিরো হিরোনসি বানরটার কারণে ফেসবুকে ডুকতে পারিনা কুত্তার বাচ্চারে দেখলে মাতা গরম হযে যায়,Negative
test_id_138,"বাংলাদেশ এর একজন সানি লিওন,, সাফা কবির,,,,",Negative
test_id_139,কি দুধ।খান আপু,Negative
test_id_140,মাগির মায়ের সুদ,Negative
test_id_141,অনেক বড় বাড়া দেখছেন মনে হয়?,Negative
test_id_142,এই নিষ্পাপ বাচ্চা গুলোর নুনুর বারোটা বাজানোর কি দরকার ছিল ভাই?,Negative
test_id_143,ফেইসবুক হ্যাকের বিচার আল্লাহর কাছে ভালোই চলছে বিচারকার্য,Negative
test_id_144,আজ ঢেলেই দিব,Negative
test_id_145,তোমার লিংক কবে যে বের হবে   ,Negative
test_id_146,তুই য় একটা মাগি,Negative
test_id_147,চল যাইগা পাটক্ষেতে,Negative
test_id_148,মাগি মর তাহলে বুজবি,Negative
test_id_149,এই মহিলা একটা মাগি,Negative
test_id_150,খোলা জানালা কি বাংলা রডওয়ালা নাকি ইন্ডিয়ান থাই,Negative
test_id_151,সৃজিত কাকায় মনে হয় দূর্বল,Negative
test_id_152,অনুগ্রহপূর্বক আমার হবু বউকে পুটকি মারার চেষ্টা করবেন নাহ। হোগা মারার চেষ্টা করুন।,Negative
test_id_153,দুধ দেখতে চাই,Negative
test_id_154,ভুল শিকার করার কারন আছেরে মামা-হিতির ফেসবুক আইডি হেক হয়েছে তাই খমা চাইতেছে,Negative
test_id_155,মাতাই কাপড় দিয়ে বলেন,Negative
test_id_156,তুমার সাথে হানিমুন চিল,Negative
test_id_157,মোহাম্মদ সজিব বাবু সভাইকে মেনশন দিয়ে চুদার কমেন্ট দেখার সুযোগ করে দিন,Negative
test_id_158,ডগী স্টাইলে চারটা রাম ঠাপ দিলেই ঠিক হয়ে যাবে  .মাগীর নাম্বার ওয়ান   ,Negative
test_id_159,নারী জাতির কলংক তুমি।তুমার জনি ভাইয়ার কাছে যাওয়া দরকারযেখানে তুমাদের মত মেয়েদের করা হয়,Negative
test_id_160,"জারজ সন্তান,,, সাফা কবির",Negative
test_id_161,অর্ধ উলঙ্গ হয়ে কি বুঝাতে চাচ্ছেন?,Negative
test_id_162,কত তম বিয়ের এইটা,Negative
